dataset,model,idx,complexity,group,iou,dice
OxfordPet,deeplabv3plus_resnet34,39,0.2580978393554687,Hard,0.7833593090375265,0.8684554298718771
OxfordPet,deeplabv3plus_resnet34,40,0.22160186767578124,Medium,0.876474142074585,0.9321140249570211
OxfordPet,deeplabv3plus_resnet34,41,0.19756011962890624,Medium,0.8324880798657736,0.9038447539011637
OxfordPet,deeplabv3plus_resnet34,42,0.2574569702148437,Hard,0.7878808180491129,0.8755849798520406
OxfordPet,deeplabv3plus_resnet34,43,0.160162353515625,Easy,0.4568056563536326,0.6148450076580048
OxfordPet,deeplabv3plus_resnet34,44,0.12371826171875,Easy,0.8704081376393636,0.9286545912424723
OxfordPet,deeplabv3plus_resnet34,45,0.08950958251953124,Easy,0.8156880338986715,0.8899714350700378
OxfordPet,deeplabv3plus_resnet34,46,0.19307098388671876,Medium,0.6153339743614197,0.7539214690526327
OxfordPet,deeplabv3plus_resnet34,47,0.19025421142578125,Medium,0.4755413730939229,0.63511061668396
OxfordPet,deeplabv3plus_resnet34,48,0.21605377197265624,Medium,0.7890522281328837,0.8740522265434265
OxfordPet,deeplabv3plus_resnet34,49,0.15858917236328124,Easy,0.8213641047477722,0.8952142596244812
OxfordPet,deeplabv3plus_resnet34,50,0.21007232666015624,Medium,0.8400662144025167,0.9076412518819174
OxfordPet,deeplabv3plus_resnet34,51,0.1236083984375,Easy,0.8769349654515585,0.9319912791252136
OxfordPet,deeplabv3plus_resnet34,52,0.21836090087890625,Medium,0.8768814007441202,0.9308806856473287
OxfordPet,deeplabv3plus_resnet34,53,0.116973876953125,Easy,0.8251160780588785,0.9003640611966451
OxfordPet,deeplabv3plus_resnet34,54,0.16748199462890626,Easy,0.8766758243242899,0.9300994674364725
OxfordPet,deeplabv3plus_resnet34,55,0.055470275878906246,Easy,0.8318857749303182,0.9016568462053934
OxfordPet,deeplabv3plus_resnet34,56,0.22010040283203125,Medium,0.7087103426456451,0.8155917127927145
OxfordPet,deeplabv3plus_resnet34,57,0.19287872314453125,Medium,0.7750531236330668,0.8599243958791097
OxfordPet,deeplabv3plus_resnet34,58,0.20023040771484374,Medium,0.8049277067184448,0.8833049535751343
OxfordPet,deeplabv3plus_resnet34,59,0.13613739013671874,Easy,0.791922926902771,0.8730178276697794
OxfordPet,deeplabv3plus_resnet34,60,0.27067718505859373,Hard,0.8002326091130575,0.8820103804270426
OxfordPet,deeplabv3plus_resnet34,61,0.1895050048828125,Medium,0.8173614343007406,0.894201378027598
OxfordPet,deeplabv3plus_resnet34,62,0.2288421630859375,Hard,0.8466512560844421,0.9141177733739217
OxfordPet,deeplabv3plus_resnet34,63,0.09974212646484375,Easy,0.740514357884725,0.8456752300262451
OxfordPet,deeplabv3plus_resnet34,64,0.2168487548828125,Medium,0.7843730847040812,0.8708638747533163
OxfordPet,deeplabv3plus_resnet34,65,0.10977935791015625,Easy,0.8852773507436117,0.9364879131317139
OxfordPet,deeplabv3plus_resnet34,66,0.16353607177734375,Easy,0.443608025709788,0.6081125636895498
OxfordPet,deeplabv3plus_resnet34,67,0.262982177734375,Hard,0.8742775718371073,0.9306475520133972
OxfordPet,deeplabv3plus_resnet34,68,0.1547088623046875,Easy,0.8475618958473206,0.9124028086662292
